           Type     Irradiance           W/m2
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Components        Average
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value      0.9457496           W/m2

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Statistics
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            Min      0.2345170           W/m2
            Max       1.996738           W/m2
 Total_Rad_Flux       7.565997              W
 Total_Lum_Flux       1380.473             lm

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Resolution         Pixels          Units
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Horizontal             21              m
       Vertical             41              m


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value          index              1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21
          index            y\x     0.04761905      0.1428571      0.2380952      0.3333333      0.4285714      0.5238095      0.6190476      0.7142857      0.8095238      0.9047619       1.000000       1.095238       1.190476       1.285714       1.380952       1.476190       1.571429       1.666667       1.761905       1.857143       1.952381
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             19       1.804878      0.5580605      0.6013677      0.6410569      0.6829389      0.7206545      0.7590280      0.8063919      0.8540847      0.8977209      0.9392739      0.9787438       1.025231       1.041347       1.086738       1.156687       1.184316       1.213919       1.235737       1.241109       1.254485       1.238478
             20       1.902439      0.5921581      0.6203352      0.6602437      0.7051955      0.7360039      0.8020064      0.8024449      0.8731618      0.9208546      0.9791824       1.023586       1.063056       1.120945       1.146710       1.207888       1.241548       1.262708       1.288254       1.340442       1.324983       1.339564
             21       2.000000      0.6168268      0.6443461      0.6937931      0.7297545      0.7899461      0.8273329      0.8638425      0.9132896      0.9980402       1.016459       1.070511       1.112393       1.181027       1.230913       1.274549       1.300643       1.334302       1.390766       1.400195       1.418833       1.425083
             22       2.097561      0.6207738      0.6748256      0.7170365      0.7423630      0.8059534      0.8683377      0.9286390      0.9582414       1.016350       1.103184       1.127194       1.202516       1.247797       1.284526       1.356120       1.422122       1.456220       1.449313       1.492949       1.487796       1.500843
             23       2.195122      0.6154015      0.6905039      0.7353461      0.7696630      0.8286486      0.9081365      0.9499089       1.030493       1.069963       1.128400       1.173791       1.251963       1.302945       1.352502       1.425083       1.468499       1.488344       1.539436       1.554456       1.571669       1.576713
             24       2.292683      0.6542135      0.7016871      0.7703208      0.8116546      0.8575931      0.9143859      0.9647101       1.045294       1.103732       1.175107       1.233105       1.302287       1.388025       1.436814       1.471021       1.520797       1.556649       1.638110       1.632957       1.647868       1.658174
             25       2.390244      0.6800883      0.7282196      0.7793112      0.8367618      0.9002426      0.9632848       1.024682       1.049351       1.145943       1.219401       1.287157       1.345046       1.428701       1.475407       1.531871       1.575616       1.644031       1.667713       1.685694       1.726808       1.736347
             26       2.487805      0.6808557      0.7494895      0.7835871      0.8577028      0.9283100      0.9785245       1.040690       1.109762       1.201091       1.248126       1.315663       1.413680       1.445037       1.519481       1.576713       1.625063       1.692491       1.716063       1.759371       1.806406       1.800047
             27       2.585366      0.7125413      0.7548618      0.8027738      0.8645004      0.9200872      0.9942028       1.060096       1.135856       1.201091       1.277948       1.350638       1.434292       1.491743       1.579344       1.633944       1.693916       1.757726       1.790179       1.826141       1.851906       1.856620
             28       2.682927      0.7122124      0.7826003      0.8335823      0.8710787      0.9394932       1.011087       1.071060       1.156797       1.235188       1.310620       1.377609       1.462140       1.554895       1.599079       1.670783       1.745118       1.805529       1.844121       1.859909       1.886223       1.924706
             29       2.780488      0.7081557      0.7716365      0.8319377      0.8769992      0.9557197       1.018104       1.110529       1.170940       1.244179       1.321255       1.441638       1.498540       1.564762       1.634383       1.691504       1.748078       1.823400       1.861773       1.912426       1.958694       1.938630
             30       2.878049      0.7146244      0.7828196      0.8366522      0.8996944      0.9434402       1.043431       1.114915       1.177190       1.256458       1.329478       1.419491       1.498321       1.576822       1.656420       1.729220       1.785794       1.815835       1.911220       1.922951       1.975139       1.984459
             31       2.975610      0.7252594      0.7797497      0.8543040      0.8900462      0.9768799       1.036962       1.096167       1.160086       1.263146       1.325092       1.414886       1.502707       1.582853       1.645566       1.753450       1.810791       1.838310       1.898941       1.965601       1.976017       1.996738
             32       3.073171      0.7305220      0.7855606      0.8470678      0.9046281      0.9607631       1.028191       1.102855       1.158441       1.277948       1.339893       1.417627       1.497334       1.585374       1.674510       1.733496       1.834144       1.863198       1.914400       1.943892       1.979415       1.983362
             33       3.170732      0.7376485      0.7849028      0.8476160      0.8939932      0.9447558       1.032796       1.114696       1.187276       1.251086       1.318075       1.421136       1.514219       1.563775       1.642825       1.712336       1.786890       1.823948       1.897625       1.930078       1.949155       1.968342
             34       3.268293      0.7236148      0.7794208      0.8341305      0.8897173      0.9578028       1.012951       1.090027       1.158332       1.230584       1.306015       1.398879       1.458522       1.556649       1.652583       1.709595       1.760577       1.823180       1.883153       1.909904       1.938739       1.947730
             35       3.365854      0.6980690      0.7702112      0.8138473      0.8848932      0.9427823      0.9949703       1.075335       1.150876       1.205148       1.283978       1.341209       1.447230       1.510381       1.587457       1.653460       1.723080       1.766497       1.824496       1.850809       1.851906       1.879973
             36       3.463415      0.6882015      0.7716365      0.7977305      0.8637329      0.9369715      0.9834583       1.040141       1.138268       1.191552       1.264462       1.341976       1.410062       1.491743       1.550399       1.609824       1.673633       1.727137       1.761015       1.802239       1.828882       1.836885
             37       3.560976      0.6987268      0.7465292      0.7858895      0.8325955      0.8970630      0.9620787       1.033234       1.090356       1.142105       1.228610       1.303603       1.376842       1.422342       1.501391       1.566407       1.620897       1.703016       1.716941       1.767813       1.747420       1.760028
             38       3.658537      0.6649581      0.7222991      0.7821618      0.8202064      0.8551811      0.9423438      0.9948607       1.061740       1.130484       1.185084       1.243192       1.308866       1.384955       1.459071       1.518166       1.573095       1.590637       1.635260       1.669357       1.713432       1.706854
             39       3.756098      0.6531172      0.7134184      0.7243822      0.7885208      0.8554004      0.9139474      0.9508956       1.035866       1.093426       1.157126       1.207998       1.286719       1.340880       1.363685       1.423986       1.475516       1.524525       1.557745       1.584607       1.624077       1.627695
             40       3.853659      0.6411665      0.6822810      0.7297545      0.7790919      0.8229473      0.8698727      0.9072594      0.9920101       1.052202       1.107240       1.169625       1.203832       1.272027       1.330026       1.370154       1.430564       1.459071       1.490537       1.505996       1.557965       1.536475
             41       3.951220      0.6172653      0.6538846      0.7013581      0.7481738      0.8093522      0.8421341      0.9034221      0.9618595      0.9994655       1.071717       1.112393       1.178067       1.238478       1.251963       1.306454       1.375745       1.375197       1.417298       1.466526       1.454685       1.446791
